                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3031,                 3.5026,                 1.2918,                0.52773,                0.48136,                0.44254,                0.13325,                 2.3173,                 2.1191,                 1.2877,             0.00066414,             0.00066414,             0.00066414
                      2,                  2.262,                 2.1478,                 1.2966,                0.64852,                   0.52,                0.53373,                0.17991,                 2.2129,                 1.7029,                 1.2843,              0.0013176,              0.0013176,              0.0013176
                      3,                 2.2311,                 1.6518,                 1.3337,                0.71539,                0.55077,                0.58887,                0.18545,                 2.1927,                 1.4228,                 1.2542,              0.0019579,              0.0019579,              0.0019579
                      4,                 2.2088,                 1.4307,                 1.2758,                0.64064,                0.57049,                0.54337,                0.19736,                 2.1272,                 1.4936,                 1.2201,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1742,                 1.3714,                 1.2729,                0.68009,                0.56308,                0.56848,                0.20552,                 2.1711,                 1.1851,                 1.2357,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.1863,                 1.2988,                 1.2953,                0.72686,                0.58954,                0.58301,                0.20461,                 2.2336,                 1.2716,                 1.2703,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.1548,                 1.2742,                 1.2581,                0.74931,                0.57846,                 0.6239,                0.24396,                 2.0996,                 1.2202,                 1.2188,               0.001901,               0.001901,               0.001901
                      8,                 2.1281,                 1.2261,                 1.2448,                0.64372,                0.61152,                0.60656,                0.23859,                 2.0884,                  1.144,                  1.203,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1554,                 1.2088,                 1.2623,                0.71571,                0.57231,                0.56548,                0.20787,                 2.1213,                 1.1948,                  1.226,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.0976,                 1.2058,                 1.2572,                0.69717,                0.63077,                0.62879,                0.23642,                 2.0817,                 1.3131,                 1.2037,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1313,                 1.2259,                 1.2569,                0.64787,                   0.56,                0.54254,                0.20881,                 2.1394,                 1.2795,                 1.2277,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1529,                 1.1883,                 1.2366,                0.65021,                0.62344,                0.57772,                0.20042,                 2.0402,                 1.2011,                 1.1969,               0.001802,               0.001802,               0.001802
                     13,                 2.1251,                 1.1835,                 1.2604,                0.71588,                   0.64,                0.64746,                0.25373,                 2.1229,                 1.0776,                 1.2075,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0699,                 1.1454,                 1.2422,                0.76526,                0.60186,                0.64206,                0.23112,                 2.1488,                 1.1086,                 1.2391,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0707,                  1.135,                 1.2323,                0.78174,                0.62816,                 0.6506,                0.23308,                 2.1772,                 1.0758,                 1.2534,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0691,                 1.1275,                 1.2296,                0.75816,                0.65538,                 0.6729,                0.26523,                 1.9976,                  1.045,                 1.1631,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0782,                 1.1474,                 1.2212,                0.74898,                0.63077,                0.64723,                0.26425,                 2.0366,                 1.0491,                 1.1851,               0.001703,               0.001703,               0.001703
                     18,                 2.0917,                 1.1461,                 1.2276,                0.71729,                0.64798,                0.67342,                0.24953,                 2.0904,                 1.1038,                 1.1811,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.0899,                 1.1469,                 1.2272,                0.68811,                0.67205,                0.64546,                0.26627,                  1.993,                 1.0767,                 1.1807,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0456,                  1.104,                 1.2128,                0.80289,                0.62668,                0.64096,                0.23745,                 2.0391,                  1.049,                 1.1848,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0741,                 1.1225,                 1.2246,                0.68157,                0.62769,                0.63484,                0.25139,                 2.1109,                 1.1176,                 1.2117,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0465,                 1.0608,                 1.2128,                0.75748,                0.66312,                0.68253,                0.26415,                 2.0429,                 1.0621,                 1.1779,               0.001604,               0.001604,               0.001604
                     23,                 2.0478,                 1.0922,                 1.2346,                0.74884,                0.61538,                0.64401,                0.25167,                 2.0655,                 1.0757,                 1.1746,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.0311,                 1.0999,                 1.2006,                0.74886,                 0.6606,                0.69173,                0.27166,                 2.0167,                 1.0304,                  1.176,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.0213,                 1.0954,                 1.2027,                0.78252,                0.65231,                0.68422,                0.26528,                 2.0304,                 1.0301,                 1.1796,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.0135,                 1.0975,                 1.2299,                0.78023,                0.65544,                0.70414,                0.28256,                 1.9569,                 1.0559,                 1.1459,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9767,                 1.0612,                 1.1868,                0.75491,                0.67077,                0.66284,                0.27095,                  2.032,                  1.046,                 1.1707,               0.001505,               0.001505,               0.001505
                     28,                 1.9899,                 1.0446,                 1.1871,                0.76841,                0.65846,                0.67959,                 0.2824,                 2.0054,                0.98965,                 1.1524,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.0378,                 1.1157,                 1.1948,                0.78095,                0.67692,                0.71077,                 0.2876,                 1.9691,                 1.0213,                  1.148,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.0229,                 1.0408,                 1.2036,                0.73224,                0.66473,                0.69329,                0.27688,                      2,                 1.0194,                 1.1648,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.9944,                 1.0603,                 1.1812,                0.72538,                0.68615,                0.69495,                0.29234,                 1.9922,                 1.0096,                 1.1615,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.0084,                 1.0522,                 1.1784,                0.76677,                0.66462,                0.70577,                0.29371,                 1.9351,                 1.0165,                 1.1168,               0.001406,               0.001406,               0.001406
                     33,                  2.004,                 1.0575,                 1.1658,                0.74477,                0.69538,                0.70147,                0.26334,                  2.053,                 1.0131,                 1.1675,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.9674,                  1.041,                 1.1799,                0.81044,                0.71035,                0.73229,                0.30015,                 1.9349,                0.97931,                 1.1329,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.9723,                 1.0547,                 1.1889,                0.77551,                0.66769,                0.70524,                0.27077,                 2.0554,                 1.0395,                 1.1842,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9481,                 1.0277,                 1.1926,                0.80305,                0.65241,                0.68514,                0.26137,                 2.0923,                0.99959,                 1.1945,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.9971,                 1.0183,                 1.1903,                 0.8009,                0.68923,                0.73042,                0.29123,                  2.017,                0.99266,                 1.1641,               0.001307,               0.001307,               0.001307
                     38,                 1.9696,                 1.0298,                 1.1685,                 0.7832,                0.68615,                0.73527,                0.30241,                 1.9659,                 1.0149,                 1.1367,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9188,                 1.0136,                 1.1436,                0.79522,                0.65718,                0.68336,                0.26639,                 2.0405,                0.98744,                 1.1892,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9741,                 1.0336,                 1.1623,                0.81119,                0.68615,                0.72666,                0.29822,                 1.9997,                0.98133,                  1.154,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9608,                  1.021,                 1.1688,                0.76203,                0.68923,                0.68652,                0.26585,                 2.0546,                 1.0073,                 1.1954,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.9181,                 1.0128,                 1.1804,                0.79533,                0.66958,                0.69525,                0.26422,                 2.0232,                 1.0145,                 1.1736,               0.001208,               0.001208,               0.001208
                     43,                 1.9529,                 1.0099,                 1.1641,                0.76867,                0.70462,                 0.7068,                0.29337,                 1.9933,                0.96285,                  1.165,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9093,                0.98704,                 1.1593,                0.77781,                0.70462,                0.71675,                  0.288,                 1.9915,                0.95911,                 1.1504,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.9048,                0.99953,                 1.1593,                0.75766,                0.64454,                0.70661,                0.29156,                 1.9684,                0.99649,                 1.1518,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.9283,                0.98779,                 1.1448,                0.75833,                0.70154,                0.70044,                0.26868,                 2.0136,                0.99307,                 1.1579,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9342,                0.99573,                 1.1272,                0.82568,                0.70769,                0.72359,                0.29238,                 1.9787,                0.97224,                 1.1535,               0.001109,               0.001109,               0.001109
                     48,                 1.9042,                0.98649,                  1.156,                0.74963,                0.68174,                0.71773,                0.28171,                 2.0195,                 0.9955,                 1.1639,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9246,                0.97262,                 1.1483,                0.79633,                0.69538,                0.70392,                0.27936,                 1.9736,                0.95381,                   1.15,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.9121,                0.96673,                 1.1265,                0.76329,                0.69846,                0.71662,                0.28141,                 2.0405,                0.97965,                 1.1504,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.897,                0.93899,                 1.1491,                0.83472,                   0.68,                0.73235,                0.29754,                 1.9904,                0.94967,                 1.1539,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8913,                0.95536,                 1.1541,                0.79975,                0.68615,                0.71643,                0.29397,                 2.0386,                0.96069,                 1.1674,                0.00101,                0.00101,                0.00101
                     53,                 1.9011,                0.97466,                 1.1363,                0.80632,                0.69173,                0.71662,                0.28829,                 2.0165,                 0.9862,                 1.1436,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8718,                0.94713,                 1.1548,                0.75986,                0.73231,                  0.729,                0.29762,                  1.978,                0.93062,                 1.1368,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8639,                0.93381,                 1.1515,                0.74916,                0.67085,                0.69064,                 0.2738,                 2.0764,                 0.9672,                 1.1891,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.8764,                0.90628,                 1.1434,                0.72679,                 0.6712,                0.68311,                0.27008,                 2.1038,                0.95665,                 1.1995,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8827,                0.93474,                 1.1503,                0.77204,                0.67077,                0.70686,                0.25536,                 2.1502,                0.97566,                 1.2122,               0.000911,               0.000911,               0.000911
                     58,                 1.8752,                 0.9095,                 1.1245,                0.78471,                0.71692,                0.72359,                  0.292,                 2.0305,                0.93645,                 1.1609,              0.0008912,              0.0008912,              0.0008912
